scheme,parametre_cle,securite_bits,niveau_label,post_quantique,base_mathematique,temps_keygen_ms,temps_enc_total_ms,temps_enc_unitaire_ms,temps_somme_homomorphe_ms,temps_dec_total_ms,debit_chiffrement_ops_sec,taille_cle_publique_octets,taille_cle_privee_octets,taille_ciphertext_octets,facteur_expansion,memoire_pic_ko,nb_valeurs_testees,exactitude
Paillier (PHE),N = 1024 bits,80,80 bits (Legacy),Non (Vulnérable Shor),Résiduosité Composite / Factorisation,506.8662000121549,467.1833000611514,23.35916500305757,0.5157999694347382,9.415299980901182,42.809749401106856,318,327,649,81.125,19.9755859375,20,Exacte (100%)
Paillier (PHE),N = 2048 bits,112,112 bits (Standard),Non (Vulnérable Shor),Résiduosité Composite / Factorisation,3033.066000090912,2868.750000023283,143.43750000116415,1.2930999509990215,43.503800057806075,6.971677559856271,626,636,1266,158.25,29.39453125,20,Exacte (100%)
Paillier (PHE),N = 3072 bits,128,128 bits (Recommandé NIST),Non (Vulnérable Shor),Résiduosité Composite / Factorisation,11002.991599962115,9062.132299994119,453.1066149997059,2.6242000749334693,122.23430001176894,2.2069860975228734,934,944,1882,235.25,43.53125,20,Exacte (100%)
Paillier (PHE),N = 4096 bits,140,140 bits (Haute Sécurité),Non (Vulnérable Shor),Résiduosité Composite / Factorisation,4026.4262000564486,19565.121299936436,978.2560649968218,4.821900045499206,334.3019000021741,1.0222272427242747,1242,1252,2499,312.375,56.64453125,20,Exacte (100%)
BFV (Pyfhel / SEAL),"n = 4096, sec = 128b",128,128 bits (Standard RLWE 128),Oui (RLWE / Réseaux),Ring Learning With Errors (RLWE),86.92040003370494,74.19579999987036,3.709789999993518,12.515399954281747,2.570500015281141,269.55703692169834,178740,93672,174916,21864.5,65.859375,20,Exacte (100%)
BFV (Pyfhel / SEAL),"n = 8192, sec = 128b",128,128 bits (Standard RLWE 128),Oui (RLWE / Réseaux),Ring Learning With Errors (RLWE),433.86630003806204,211.4881998859346,10.57440999429673,3.501600003801286,2.77670007199049,94.56792393517429,722284,361060,699204,87400.5,129.859375,20,Exacte (100%)
BFV (Pyfhel / SEAL),"n = 16384, sec = 128b",128,128 bits (Standard RLWE 128),Oui (RLWE / Réseaux),Ring Learning With Errors (RLWE),2807.8123000450432,742.6400000695139,37.132000003475696,19.306199974380434,13.360899989493191,26.930949044123565,2742196,1371200,2796356,349544.5,257.859375,20,Exacte (100%)
BFV (Pyfhel / SEAL),"n = 16384, sec = 256b",256,256 bits (Très Haute Sécurité),Oui (RLWE / Réseaux),Ring Learning With Errors (RLWE),940.4631999786943,457.79110002331436,22.889555001165718,7.4819999281317,6.720400066114962,43.68804897906806,1487656,743880,1398252,174781.5,257.859375,20,Exacte (100%)
